Vf,composite,P2020,P2016,S2020,S2018,G2018,AG2018
0.250,0.000003,0.000001,0.000003,0.000001,0.000008,0.003650,0.000000
0.255,0.000005,0.000001,0.000007,0.000001,0.000015,0.005760,0.000001
0.260,0.000011,0.000002,0.000013,0.000003,0.000029,0.008742,0.000001
0.265,0.000021,0.000005,0.000025,0.000006,0.000055,0.012767,0.000003
0.270,0.000039,0.000009,0.000047,0.000011,0.000100,0.017963,0.000005
0.275,0.000071,0.000017,0.000085,0.000022,0.000178,0.024371,0.000010
0.280,0.000127,0.000031,0.000151,0.000039,0.000308,0.031925,0.000019
0.285,0.000219,0.000055,0.000260,0.000071,0.000519,0.040437,0.000034
0.290,0.000370,0.000097,0.000436,0.000123,0.000849,0.049603,0.000060
0.295,0.000608,0.000167,0.000712,0.000210,0.001352,0.059039,0.000105
0.300,0.000974,0.000279,0.001133,0.000349,0.002096,0.068325,0.000178
0.305,0.001519,0.000457,0.001757,0.000565,0.003162,0.077063,0.000294
0.310,0.002312,0.000729,0.002656,0.000895,0.004647,0.084929,0.000477
0.315,0.003431,0.001136,0.003915,0.001384,0.006654,0.091710,0.000754
0.320,0.004966,0.001730,0.005628,0.002089,0.009287,0.097317,0.001165
0.325,0.007014,0.002574,0.007894,0.003083,0.012639,0.101782,0.001762
0.330,0.009673,0.003745,0.010808,0.004445,0.016784,0.105234,0.002604
0.335,0.013031,0.005328,0.014453,0.006266,0.021762,0.107077,0.003766
0.340,0.017155,0.007415,0.018886,0.008639,0.027569,0.108156,0.005329
0.345,0.022086,0.010101,0.024134,0.011655,0.034154,0.109219,0.007383
0.350,0.027827,0.013472,0.030181,0.015394,0.041416,0.110296,0.010017
0.355,0.034341,0.017606,0.036968,0.019919,0.049213,0.111422,0.013316
0.360,0.041546,0.022555,0.044395,0.025266,0.057372,0.112633,0.017353
0.365,0.049329,0.028349,0.052327,0.031438,0.065710,0.113967,0.022186
0.370,0.057547,0.034983,0.060612,0.038409,0.074053,0.115464,0.027843
0.375,0.066051,0.042424,0.069092,0.046119,0.082253,0.117166,0.034330
0.380,0.074696,0.050608,0.077624,0.054479,0.090209,0.119116,0.041622
0.385,0.083362,0.059451,0.086094,0.063389,0.097871,0.121358,0.049669
0.390,0.091962,0.068855,0.094433,0.072738,0.105247,0.123937,0.058404
0.395,0.100457,0.078722,0.102619,0.082428,0.112397,0.126898,0.067749
0.400,0.108857,0.088967,0.110682,0.092377,0.119424,0.130289,0.077630
0.405,0.117215,0.099524,0.118696,0.102533,0.126457,0.134161,0.087983
0.410,0.125623,0.110359,0.126772,0.112881,0.133642,0.138567,0.098772
0.415,0.134203,0.121471,0.135043,0.123442,0.141122,0.143569,0.109988
0.420,0.143090,0.132893,0.143655,0.134274,0.149035,0.149234,0.121660
0.425,0.152429,0.144691,0.152755,0.145466,0.157501,0.155643,0.133851
0.430,0.162359,0.156960,0.162483,0.157130,0.166627,0.162888,0.146658
0.435,0.173016,0.169815,0.172969,0.169399,0.176506,0.171077,0.160204
0.440,0.184526,0.183386,0.184332,0.182416,0.187225,0.180334,0.174629
0.445,0.197006,0.197811,0.196681,0.196326,0.198869,0.190797,0.190085
0.450,0.210569,0.213230,0.210116,0.211279,0.211528,0.202622,0.206721
0.455,0.225322,0.229782,0.224736,0.227416,0.225302,0.215974,0.224678
0.460,0.241370,0.247597,0.240635,0.244872,0.240300,0.231024,0.244082
0.465,0.258816,0.266792,0.257903,0.263770,0.256640,0.247939,0.265034
0.470,0.277751,0.287465,0.276624,0.284213,0.274439,0.266877,0.287605
0.475,0.298257,0.309689,0.296871,0.306281,0.293807,0.287972,0.311832
0.480,0.320394,0.333509,0.318696,0.330022,0.314837,0.311322,0.337710
0.485,0.344191,0.358930,0.342126,0.355446,0.337586,0.336982,0.365194
