METRIC,composite,P2020,P2016,S2018,S2016,G2018,AG2018,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
Vf,0.506773,0.503205,0.495930,0.554194,0.482701,0.505586,0.503321,0.507490,0.009948,0.019602,-0.000717,-0.001413,-0.072075
Sf,0.379635,0.341362,0.332701,0.589051,0.329729,0.387005,0.381117,0.393494,0.040380,0.102619,-0.013859,-0.035220,-0.343214
EG,0.133911,0.165048,0.159159,0.019337,0.135673,0.124167,0.125525,0.121485,0.021584,0.177668,0.012426,0.102284,0.575704
PR,0.127138,0.161843,0.163229,-0.034857,0.152972,0.118581,0.122204,0.113995,0.030810,0.270275,0.013143,0.115295,0.426582
GAMMA,0.141341,0.166998,0.156850,0.130246,0.130204,0.130205,0.128741,0.140541,0.006892,0.049039,0.000800,0.005692,0.116077
BS_50,0.139396,0.166501,0.156610,0.109697,0.123549,0.128564,0.128396,0.135553,0.008782,0.064786,0.003843,0.028351,0.437600
BV_50,0.038347,0.042814,0.042455,0.031026,0.033523,0.037018,0.034540,0.036896,0.001978,0.053610,0.001451,0.039327,0.733569
BS_V,0.138527,0.166003,0.156074,0.069031,0.117664,0.128166,0.128050,0.127498,0.013922,0.109194,0.011029,0.086503,0.792199
GS,0.049893,0.060286,0.058172,0.032237,0.047855,0.046883,0.044658,0.048349,0.004142,0.085669,0.001544,0.031934,0.372767
MM,0.046760,0.054439,0.053456,0.039760,0.041538,0.045948,0.045038,0.046697,0.002474,0.052980,0.000063,0.001349,0.025465
LO,0.074406,0.095488,0.083414,0.082938,0.055039,0.068200,0.065194,0.075046,0.006040,0.080484,-0.000640,-0.008528,-0.105960
DECL,24.627522,32.137260,31.068430,11.319447,26.491372,22.834678,22.797094,24.441380,3.081218,0.126066,0.186142,0.007616,0.060412
R,-17.771247,-49.497030,41.105428,1.643194,9.842849,-20.228247,-35.797339,-8.821858,13.494288,-1.529642,-8.949389,1.014456,-0.663198
r,3.097118,2.608547,2.567383,4.046528,2.316146,3.080901,2.968391,2.931316,0.250500,0.085456,0.165802,0.056562,0.661884
Sb,0.379635,0.341362,0.332701,0.589051,0.329729,0.387005,0.381117,0.393494,0.040380,0.102619,-0.013859,-0.035220,-0.343214
Ra,0.689818,0.670681,0.666350,0.794526,0.664864,0.693503,0.690559,0.696747,0.020190,0.028978,-0.006929,-0.009945,-0.343190
Rb,0.189818,0.170681,0.166350,0.294526,0.164864,0.193503,0.190559,0.196747,0.020190,0.102619,-0.006929,-0.035218,-0.343190
Va,0.576215,0.574858,0.585915,0.543119,0.595412,0.581379,0.579246,0.576655,0.007290,0.012642,-0.000440,-0.000763,-0.060357
Vb,0.349379,0.329654,0.330671,0.373943,0.349548,0.350420,0.355561,0.348299,0.006770,0.019437,0.001080,0.003101,0.159527
L_Vf,0.485000,0.480000,0.475000,0.530000,0.460000,0.485000,0.480000,0.485000,0.009661,0.019920,0.000000,0.000000,0.000000
L_Sf,0.323226,0.293525,0.291951,0.496118,0.287189,0.333106,0.321053,0.337157,0.032654,0.096851,-0.013931,-0.041319,-0.426625
U_Vf,0.530000,0.525000,0.520000,0.575000,0.505000,0.530000,0.525000,0.530000,0.009661,0.018228,0.000000,0.000000,0.000000
U_Sf,0.463920,0.416803,0.406684,0.694194,0.392096,0.471420,0.459097,0.473382,0.045907,0.096977,-0.009462,-0.019988,-0.206112
